area,month,count
AL RITCHIE,2016-04,1
AL RITCHIE,2016-08,6
AL RITCHIE,2016-09,9
AL RITCHIE,2016-10,1
AL RITCHIE,2017-01,2
AL RITCHIE,2017-03,1
AL RITCHIE,2018-02,1
AL RITCHIE,2019-02,1
AL RITCHIE,2019-03,3
AL RITCHIE,2019-04,2
AL RITCHIE,2019-05,2
AL RITCHIE,2019-11,1
AL RITCHIE,2019-12,9
AL RITCHIE,2020-02,3
AL RITCHIE,2020-04,3
AL RITCHIE,2020-06,3
AL RITCHIE,2020-07,1
AL RITCHIE,2020-10,1
AL RITCHIE,2020-12,1
AL RITCHIE,2021-01,1
AL RITCHIE,2021-03,1
AL RITCHIE,2021-09,4
AL RITCHIE,2021-11,1
AL RITCHIE,2022-02,1
AL RITCHIE,2022-09,1
AL RITCHIE,2022-11,1
AL RITCHIE,2023-03,1
AL RITCHIE,2023-05,1
AL RITCHIE,2023-07,7
AL RITCHIE,2023-09,2
AL RITCHIE,2023-10,1
AL RITCHIE,2023-12,1
AL RITCHIE,2024-02,4
AL RITCHIE,2024-03,4
AL RITCHIE,2024-05,1
AL RITCHIE,2024-06,6
AL RITCHIE,2024-07,3
AL RITCHIE,2024-12,1
AL RITCHIE,2025-01,23
AL RITCHIE,2025-03,2
AL RITCHIE,2025-04,2
AL RITCHIE,2025-06,1
AL RITCHIE,2025-08,3
AL RITCHIE,2025-11,2
CATHEDRAL,2016-07,2
CATHEDRAL,2016-10,1
CATHEDRAL,2017-02,1
CATHEDRAL,2017-03,1
CATHEDRAL,2017-06,1
CATHEDRAL,2018-02,2
CATHEDRAL,2018-03,3
CATHEDRAL,2018-04,1
CATHEDRAL,2018-07,4
CATHEDRAL,2018-09,2
CATHEDRAL,2018-10,5
CATHEDRAL,2019-02,10
CATHEDRAL,2019-03,3
CATHEDRAL,2019-04,4
CATHEDRAL,2019-05,2
CATHEDRAL,2019-12,9
CATHEDRAL,2020-01,15
CATHEDRAL,2020-02,17
CATHEDRAL,2020-03,6
CATHEDRAL,2020-04,14
CATHEDRAL,2020-05,2
CATHEDRAL,2020-07,1
CATHEDRAL,2020-08,9
CATHEDRAL,2020-09,3
CATHEDRAL,2020-10,4
CATHEDRAL,2020-11,3
CATHEDRAL,2020-12,4
CATHEDRAL,2021-01,3
CATHEDRAL,2021-03,3
CATHEDRAL,2021-04,2
CATHEDRAL,2021-05,1
CATHEDRAL,2021-07,8
CATHEDRAL,2021-08,3
CATHEDRAL,2021-09,3
CATHEDRAL,2021-10,2
CATHEDRAL,2021-11,7
CATHEDRAL,2021-12,10
CATHEDRAL,2022-01,2
CATHEDRAL,2022-02,3
CATHEDRAL,2022-03,3
CATHEDRAL,2022-06,2
CATHEDRAL,2022-08,7
CATHEDRAL,2022-09,9
CATHEDRAL,2022-10,1
CATHEDRAL,2023-02,4
CATHEDRAL,2023-03,2
CATHEDRAL,2023-05,1
CATHEDRAL,2023-06,1
CATHEDRAL,2023-07,19
CATHEDRAL,2023-08,2
CATHEDRAL,2023-09,7
CATHEDRAL,2023-10,1
CATHEDRAL,2023-11,3
CATHEDRAL,2023-12,1
CATHEDRAL,2024-01,45
CATHEDRAL,2024-02,26
CATHEDRAL,2024-03,4
CATHEDRAL,2024-04,1
CATHEDRAL,2024-05,2
CATHEDRAL,2024-07,4
CATHEDRAL,2024-08,3
CATHEDRAL,2024-09,1
CATHEDRAL,2024-10,1
CATHEDRAL,2024-11,2
CATHEDRAL,2024-12,2
CATHEDRAL,2025-01,11
CATHEDRAL,2025-03,2
CATHEDRAL,2025-04,22
CATHEDRAL,2025-05,2
CATHEDRAL,2025-06,3
CATHEDRAL,2025-07,5
CATHEDRAL,2025-08,1
CATHEDRAL,2025-09,2
CATHEDRAL,2025-10,1
CATHEDRAL,2025-11,3
CATHEDRAL,2025-12,1
CATHEDRAL,2026-01,16
CATHEDRAL,2026-02,1
CENTRE SQUARE,2019-12,2
CENTRE SQUARE,2021-10,3
CENTRE SQUARE,2023-01,1
CENTRE SQUARE,2024-07,1
DOWNTOWN,2018-07,1
DOWNTOWN,2019-02,4
